topics_desc,model,topic_number
Topic #0: vie jeune monde femme homme femmes famille film histoire années,nmf_tfidf,0
Topic #1: match équipe saison points ligue victoire joueurs jeu rencontre championnat,nmf_tfidf,1
Topic #2: the and you for film films série cinéma media album,nmf_tfidf,2
Topic #3: euros millions milliards prix groupe hausse dollars marché bourse croissance,nmf_tfidf,3
Topic #4: cookies privacy site web paramètres dpgmedia publicités tél mail social,nmf_tfidf,4
Topic #5: saint noël ville association heures salle enfants jean maire centre,nmf_tfidf,5
Topic #6: psg real club madrid mercato ligue paris champions joueur thomas,nmf_tfidf,6
Topic #7: alerte article facebook twitter application mobile compte page recevoir édition,nmf_tfidf,7
Topic #8: président gouvernement pays ministre politique trump police manifestants afp parti,nmf_tfidf,8
Topic #9: france coupe français paris monde tour finale euro pays française,nmf_tfidf,9
Topic #0: symbol path fill title viewbox menu twitter france facebook musique,nmf_cv,0
Topic #1: cookies site privacy web social paramètres entreprise mail numéro tél,nmf_cv,1
Topic #2: france monde moins vie leurs place sous non paris jeu,nmf_cv,2
Topic #3: the and you for but new media source long part,nmf_cv,3
Topic #4: class text span article strong quot https nbsp eacute sport,nmf_cv,4
Topic #5: points title série quel match victoire groupe quelle star the,nmf_cv,5
Topic #6: euros millions prix milliards groupe hausse affaires chiffre marché offre,nmf_cv,6
Topic #7: saison mercato match équipe club ligue joueurs histoire football classement,nmf_cv,7
Topic #8: président pays gouvernement ministre trump politique unis afp manifestants accord,nmf_cv,8
Topic #9: lieu black amazon friday euros pro apple jusqu offres offre,nmf_cv,9
Topic #0: euros millions milliards bourse hausse chine marché groupe dollars entreprises,lda_tfidf,0
Topic #1: police homme personnes enquête violences prison afp plusieurs justice victimes,lda_tfidf,1
Topic #2: match ligue club équipe psg saison joueurs points football victoire,lda_tfidf,2
Topic #3: cookies class the you span and eacute quot text com,lda_tfidf,3
Topic #4: apple pro direct retrouvez photos news nicolas match dernières football,lda_tfidf,4
Topic #5: président gouvernement ministre macron parti politique élections maire conseil municipales,lda_tfidf,5
Topic #6: saint association ville enfants salle noël heures édition centre travaux,lda_tfidf,6
Topic #7: trump unis donald hier etats américain new président york américaine,lda_tfidf,7
Topic #8: finale coupe course france tour monde champion résultats victoire rugby,lda_tfidf,8
Topic #9: film the vie monde jeu série vidéo cinéma histoire prix,lda_tfidf,9
Topic #0: jeu saison points équipe match victoire place joueurs tête dernier,lda_cv,0
Topic #1: cookies site web social situé numéro privacy mail entreprise siège,lda_cv,1
Topic #2: président pays afp unis gouvernement police ministre déclaré politique enquête,lda_cv,2
Topic #3: article symbol title path class fill google com text facebook,lda_cv,3
Topic #4: club ligue match france finale coupe football psg équipe saison,lda_cv,4
Topic #5: personnes projet ville maire travail conseil santé centre leurs place,lda_cv,5
Topic #6: the and noël eau sud you nuit voiture ville vers,lda_cv,6
Topic #7: vie monde jeune histoire enfants film famille femme années voir,lda_cv,7
Topic #8: saint jean france paris heures salle pierre hier édition michel,lda_cv,8
Topic #9: euros millions prix marché moins produits france offre groupe milliards,lda_cv,9
