day,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
1,0.005867040853813864,0.005773175798426539,0.0017259798443321924,0.004669443414936639,0.005374532437536553,0.005856470160577181,0.0030522865710174516,0.004597640482900862,0.003980772166096798,0.0036187869741260746
2,0.005454907236068521,0.008910143695601898,0.0015465757075217622,0.0026607648337875316,0.004600142464162956,0.005949071071639319,0.0030456038767558247,0.00475444941620024,0.004341927159393794,0.00399098889688905
3,0.005586199673676422,0.007595024241996148,0.001745930946747916,0.002706614574510698,0.0047249323770959,0.006117953747412088,0.0030480727200050085,0.004648030345107807,0.004386836240371183,0.0036396225610308437
4,0.006042327176829775,0.00450938184555453,0.002122137776490171,0.00526790316812629,0.005375017779846434,0.005985226864936023,0.0029314602082860437,0.004802241503527993,0.00403101893146386,0.003154523149828986
5,0.0058551128981531005,0.004461583986115141,0.0020357856162653344,0.005447579091724657,0.005939898465169664,0.005731767217162558,0.0029243107193329004,0.004586235373623986,0.0041456149007458604,0.0036042037236629237
6,0.0060236873306406345,0.004418962438649006,0.0020741453429536,0.005631799439688968,0.005578451607080879,0.005463514845547921,0.0029170138005991386,0.004612931439645864,0.004019499822782796,0.0036877924341213487
7,0.005812726072929652,0.004323680850929534,0.002091041560265979,0.006215396089576865,0.005588772286405006,0.005842945241793242,0.003033949943981973,0.0045745517852239,0.00444338547488594,0.0035520125465985978
8,0.006057017526353611,0.004891230140223759,0.0020409600942890367,0.005396932898491413,0.00546658114122294,0.005902069571523919,0.002987884800366372,0.0045497199561826485,0.004297081815529016,0.00333658924752393
9,0.0055501898041198155,0.008059686513453325,0.001608196382181716,0.002726716159375754,0.005040615563204007,0.006172490761588067,0.0031243586249155666,0.0049514113670309275,0.004491677680072549,0.004117909049163978
10,0.005375293341196553,0.008439575126136517,0.0017259785702315414,0.0026484083125900572,0.0050746776337763635,0.006127195322116323,0.0028832400507413374,0.0046341218812625175,0.004807683188952986,0.003898752757621742
11,0.005417142008044548,0.005665982326150994,0.001793395062091066,0.004177420048863712,0.006180736240196369,0.005935578276760591,0.0029862624143408277,0.004887929691747905,0.004992203035806068,0.003185945663815031
12,0.005988228358364053,0.0040613837342067475,0.002019172003181889,0.005328514914049673,0.005881602652234708,0.005960087486353022,0.003108300368535921,0.004798699319085339,0.004650859442222325,0.0028867226127660397
13,0.006187440075860565,0.0036584120804911396,0.001986218788367203,0.0049139065895737345,0.005500719075144684,0.005865016793839191,0.0028869845126292754,0.004722590757937733,0.005260824974387994,0.0027303172081473114
14,0.005830579834278869,0.003988400742111557,0.0020311578823542994,0.005575956161136205,0.005752468859876547,0.006224951063833915,0.0029117786102008693,0.004722583998442673,0.005125036042123025,0.0026607236551514685
15,0.0059327723344407965,0.004340706154975501,0.0021118661295853537,0.005436960433102476,0.005508925802840878,0.006232613807778457,0.002860753552353798,0.004489889924966647,0.005228109490789907,0.0024966086318357252
16,0.0053197363090045045,0.007020778026907362,0.0017103844104905679,0.003162140666342346,0.005054334706209846,0.006485413001906952,0.0029247628735887864,0.005112568475101771,0.005776500088984571,0.0033285865421487826
17,0.005545096818223812,0.006763033185143148,0.0017058783892320687,0.0036200411965761586,0.00526312021746188,0.006276887765299228,0.0031544850911754867,0.004772389342338995,0.006049223480389729,0.0031200223178177544
18,0.005832652501945767,0.004226210991597086,0.002132933406143293,0.0054102094827140615,0.005363523705104237,0.006042317492749192,0.0028095604404697453,0.005001796223723365,0.004643914359638134,0.002777742853170726
19,0.005790673560764716,0.0037548408155418473,0.0021352630149219618,0.005623755113613623,0.005803699445131218,0.00634772628588776,0.002796564376757484,0.004646949960035809,0.0049129160252614264,0.0027135603112989296
20,0.00604684006109632,0.003376650059423441,0.002177713262244315,0.005461347985875385,0.005663878341549049,0.006155446631473028,0.002907332302979505,0.004392203474959913,0.004493825175440893,0.0032019253421335706
21,0.005919235166083098,0.003651086060245626,0.0021931408384536534,0.005749503931844517,0.005788877226033258,0.006176715715773951,0.002931768682395605,0.004605653657262452,0.00444290897815464,0.003290461080596639
22,0.005949779076434373,0.004207427362358109,0.0020557567166749903,0.005100563333262822,0.005549848945112223,0.006374786942728545,0.002875245130171993,0.00466658960555786,0.004353302142916054,0.0036007467599182053
23,0.005171956965894402,0.0078627684446322,0.0017694597612154894,0.0028134824200885546,0.004532972846304719,0.0069542375742000576,0.0031462752961923897,0.005413371733949018,0.004004430280073963,0.004324475803374381
24,0.005359031374366574,0.007260903621995868,0.0016661818765307198,0.003161151120874898,0.0049142057211680416,0.0068422300188833015,0.0033367745322025267,0.0052145445715524995,0.00411769270042961,0.003948458048113691
25,0.00568742700187286,0.004215359919402384,0.0020986965754875753,0.005961830776393639,0.0053122666376984,0.005908148748417796,0.002949574573388513,0.005341392657630705,0.003996624876653472,0.0038475242204229795
26,0.005650876100310167,0.003963157602686462,0.0020431884486164123,0.005494661311203402,0.005490040522417044,0.0063349712355074295,0.0028372055579521196,0.005194189604123506,0.004075160083708874,0.0042039854353101095
27,0.0058042656425706055,0.004283104194849041,0.0021219170584299628,0.005674869667243197,0.005387094462632835,0.005933880931217738,0.002601967375621745,0.004622583077847493,0.004063916421656689,0.003663303219264956
28,0.005543802411990035,0.003959655479511138,0.001980151841179311,0.006319065759277899,0.00552931588520465,0.006325740884010324,0.002593070983111845,0.004784565284635636,0.004096608890174414,0.003238532065406802
29,0.005636741975720071,0.004060959434311326,0.0019357691644982494,0.00623490334179809,0.00524123746072254,0.0066473936833690355,0.002250975478688358,0.0048851242247921825,0.0043371694661716335,0.003524169629504381
30,0.005281238331216789,0.007402957383117734,0.0017622668750490393,0.0037430911922464744,0.004918613046261476,0.006765031475274433,0.0019946032809975804,0.005177110571590322,0.004429778764569839,0.003947198088700152
